th_time,th
-2.0,0.0
0.08200001717,325.952
2.08200001717,345.26
4.1210000515,237.128
6.16400003433,262.404
8.2060000896,262.436
10.2050001621,448.204
12.2050001621,342.756
14.2870001793,396.98
16.3289999962,273.368
18.4120001793,239.988
20.3690001965,280.396
22.3690001965,429.684
24.3680000305,311.716
26.3680000305,339.768
28.4509999752,282.552
30.492000103,226.86
32.4500000477,300.292
34.4500000477,378.312
36.4490001202,321.368
38.4490001202,318.856
40.4480001926,295.216
42.4480001926,233.948
44.4470000267,251.192
46.4470000267,408.056
48.4460000992,323.992
50.4460000992,341.224
52.4450001717,310.744
54.4450001717,385.696
56.4440000057,297.288
58.4440000057,384.66
60.4440000057,379.028
62.4430000782,371.588
64.4830000401,333.328
66.4820001125,287.7
68.4820001125,308.756
70.481000185,375.156
72.4820001125,410.72
74.4820001125,376.028
76.4820001125,351.64
78.481000185,396.816
80.481000185,327.212
82.4800000191,274.044
84.4800000191,298.136
86.4790000916,347.496
88.4790000916,319.32
90.478000164,324.548
92.478000164,266.32
94.4769999981,263.436
96.4769999981,267.132
98.476999998,341.716
100.518000126,367.572
102.517000198,385.608
104.517000198,372.372
106.516000032,310.528
108.516000032,248.188
110.515000105,431.048
112.55700016,308.92
114.555999994,358.176
116.555999994,322.592
118.555000067,226.548
120.555000067,237.488
122.554000139,424.976
124.554000139,309.1
126.552999973,317.008
128.552999973,704.184
130.552999973,215.624
132.552000046,213.436
134.552000046,367.94
136.551000118,366.64
138.551000118,400.788
140.550000191,381.92
142.550000191,327.624
144.549000025,344.316
146.549000025,402.928
148.548000097,414.776
150.548000097,378.52
152.548000097,366.048
154.54700017,834.16
156.54700017,240.048
158.546000004,354.308
160.546000004,409.84
162.587000132,345.608
164.586000204,342.376
166.586000204,279.04
168.586000204,244.192
170.585000038,335.052
172.585000038,375.852
174.584000111,342.976
176.584000111,339.428
178.583000183,320.616
180.583000183,256.58
182.582000017,307.364
184.582000017,406.692
186.58100009,338.508
188.58100009,364.0
190.580000162,316.74
192.580000162,239.868
194.621000051,295.008
196.621000051,389.768
198.662000179,359.936
200.662000179,357.072
202.661000013,645.788
204.661000013,161.388
206.660000086,204.972
208.660000086,294.168
210.659000158,246.796
212.659000158,243.376
214.657999992,225.392
216.657999992,157.26
